  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-W3-211                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2651   0.00937  10.00000  -0.0697  0.0500  0.0238   0.00332
  -4.000  -0.1375   0.00893  10.00000  -0.0735  0.0500  0.0500   0.00292
  -3.000  -0.0122   0.00883  10.00000  -0.0765  0.0500  0.0500   0.00277
  -2.000   0.1127   0.00878  10.00000  -0.0793  0.0500  0.0500   0.00269
  -1.000   0.2372   0.00879  10.00000  -0.0820  0.0500  0.0500   0.00267
   0.000   0.3611   0.00885  10.00000  -0.0846  0.0500  0.0500   0.00271
   1.000   0.4845   0.00897  10.00000  -0.0871  0.0500  0.0500   0.00281
   2.000   0.6071   0.00914  10.00000  -0.0895  0.0500  0.0500   0.00297
   3.000   0.7288   0.00936  10.00000  -0.0917  0.0500  0.0500   0.00320
   4.000   0.8495   0.00963  10.00000  -0.0937  0.0500  0.0500   0.00348
   5.000   0.9691   0.00996  10.00000  -0.0956  0.0500  0.0500   0.00383
   6.000   1.0850   0.01065  10.00000  -0.0970  0.0306  0.0500   0.00444
   7.000   1.1950   0.01183  10.00000  -0.0975  0.0011  0.0500   0.00552
   8.000   1.3054   0.01266  10.00000  -0.0982  0.0010  0.0500   0.00635
   9.000   1.4112   0.01364  10.00000  -0.0982  0.0009  0.0500   0.00736
