  
       RFOIL         Version 1.1
  
 Calculated polar for: ffa-w1-182                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2695   0.00706  10.00000  -0.0488  0.4817  0.0105   0.00215
  -4.000  -0.1482   0.00670  10.00000  -0.0509  0.4707  0.0121   0.00176
  -3.000  -0.0264   0.00640  10.00000  -0.0531  0.4608  0.0160   0.00149
  -2.000   0.0956   0.00600  10.00000  -0.0555  0.4505  0.0647   0.00124
  -1.000   0.2185   0.00488  10.00000  -0.0587  0.4401  0.3360   0.00086
   0.000   0.3412   0.00442  10.00000  -0.0615  0.4298  0.4804   0.00077
   1.000   0.4634   0.00441  10.00000  -0.0638  0.4187  0.5212   0.00082
   2.000   0.5854   0.00449  10.00000  -0.0661  0.4069  0.5453   0.00091
   3.000   0.7068   0.00463  10.00000  -0.0684  0.3924  0.5636   0.00104
   4.000   0.8273   0.00488  10.00000  -0.0707  0.3705  0.5793   0.00124
   5.000   0.9450   0.00551  10.00000  -0.0727  0.3138  0.5949   0.00166
   6.000   1.0569   0.00686  10.00000  -0.0742  0.2102  0.6080   0.00255
   7.000   1.1641   0.00845  10.00000  -0.0751  0.1154  0.6214   0.00369
   8.000   1.2681   0.00998  10.00000  -0.0755  0.0562  0.6341   0.00492
   9.000   1.3689   0.01139  10.00000  -0.0755  0.0277  0.6470   0.00618
  10.000   1.4610   0.01300  10.00000  -0.0743  0.0118  0.6593   0.00771
  11.000   1.5225   0.01525  10.00000  -0.0694  0.0069  0.6713   0.00999
  12.000   1.5522   0.02027  10.00000  -0.0651  0.0050  0.6829   0.01517
  14.000   1.4749   0.04404  10.00000  -0.0583  0.0020  0.7043   0.03950
  15.000   1.4212   0.05831  10.00000  -0.0572  0.0019  0.7136   0.05405
