  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-W1-152                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -4.000  -0.1163   0.00622  10.00000  -0.0480  0.4956  0.0133   0.00145
  -3.000   0.0036   0.00596  10.00000  -0.0496  0.4850  0.0174   0.00120
  -2.000   0.1238   0.00570  10.00000  -0.0514  0.4754  0.0306   0.00099
  -1.000   0.2442   0.00545  10.00000  -0.0532  0.4654  0.0612   0.00086
   0.000   0.3647   0.00522  10.00000  -0.0552  0.4545  0.1287   0.00079
   1.000   0.4852   0.00487  10.00000  -0.0575  0.4427  0.2843   0.00078
   2.000   0.6057   0.00444  10.00000  -0.0600  0.4283  0.5169   0.00083
   3.000   0.7258   0.00422  10.00000  -0.0624  0.4077  0.7049   0.00098
   4.000   0.8451   0.00440  10.00000  -0.0646  0.3804  0.7794   0.00122
   5.000   0.9614   0.00517  10.00000  -0.0667  0.3076  0.8197   0.00173
   6.000   1.0726   0.00659  10.00000  -0.0683  0.1983  0.8472   0.00269
   7.000   1.1772   0.00849  10.00000  -0.0693  0.0847  0.8759   0.00407
   8.000   1.2808   0.00991  10.00000  -0.0699  0.0367  0.9053   0.00528
   9.000   1.3757   0.01146  10.00000  -0.0692  0.0099  0.9572   0.00677
  10.000   1.4658   0.01295  10.00000  -0.0682  0.0051  1.0000   0.00827
  11.000   1.5078   0.01688  10.00000  -0.0641  0.0016  1.0000   0.01229

