  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-w3-360                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -7.000  -0.5232   0.02065  12.00000  -0.0363  0.3667  0.2178   0.01643
  -6.000  -0.4976   0.01436  12.00000  -0.0404  0.3550  0.2405   0.01009
  -5.000  -0.3118   0.01172  12.00000  -0.0631  0.3350  0.2693   0.00744
  -4.000  -0.1022   0.00996  12.00000  -0.0878  0.3153  0.3008   0.00567
  -3.000   0.0773   0.00929  12.00000  -0.1031  0.2991  0.3188   0.00493
  -2.000   0.2359   0.00911  12.00000  -0.1128  0.2849  0.3334   0.00471
  -1.000   0.3856   0.00912  12.00000  -0.1201  0.2723  0.3477   0.00467
   0.000   0.5316   0.00920  12.00000  -0.1265  0.2619  0.3613   0.00472
   1.000   0.6746   0.00944  12.00000  -0.1322  0.2441  0.3760   0.00489
   2.000   0.8155   0.00973  12.00000  -0.1374  0.2287  0.3884   0.00512
   3.000   0.9545   0.01008  12.00000  -0.1422  0.2142  0.4015   0.00541
   4.000   1.0899   0.01056  12.00000  -0.1462  0.1994  0.4125   0.00581
   5.000   1.2218   0.01122  12.00000  -0.1496  0.1806  0.4240   0.00636
   6.000   1.3465   0.01228  12.00000  -0.1519  0.1529  0.4361   0.00725
   7.000   1.3419   0.01870  12.00000  -0.1338  0.0010  0.4425   0.01294

