  
       RFOIL         Version 1.1
  
 Calculated polar for: FFA-W3-211                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -5.000  -0.2516   0.00648  10.00000  -0.0734  0.4459  0.1747   0.00205
  -4.000  -0.1171   0.00496  10.00000  -0.0797  0.4319  0.3608   0.00114
  -3.000   0.0095   0.00473  10.00000  -0.0827  0.4180  0.4084   0.00100
  -2.000   0.1347   0.00474  10.00000  -0.0851  0.4052  0.4217   0.00097
  -1.000   0.2595   0.00479  10.00000  -0.0875  0.3932  0.4336   0.00099
   0.000   0.3840   0.00488  10.00000  -0.0899  0.3815  0.4432   0.00104
   1.000   0.5082   0.00497  10.00000  -0.0922  0.3705  0.4534   0.00112
   2.000   0.6321   0.00509  10.00000  -0.0944  0.3593  0.4632   0.00122
   3.000   0.7549   0.00533  10.00000  -0.0965  0.3397  0.4705   0.00139
   4.000   0.8770   0.00562  10.00000  -0.0986  0.3155  0.4790   0.00162
   5.000   0.9968   0.00621  10.00000  -0.1004  0.2728  0.4844   0.00202
   6.000   1.1091   0.00777  10.00000  -0.1015  0.1630  0.4924   0.00306
   7.000   1.2186   0.00932  10.00000  -0.1020  0.0863  0.4982   0.00421
   8.000   1.3257   0.01077  10.00000  -0.1022  0.0400  0.5043   0.00540
   9.000   1.4292   0.01221  10.00000  -0.1018  0.0173  0.5109   0.00669
